Date,Open,High,Low,Close,Adj Close,Volume
2019-01-03,40.560001,41.360001,40.240002,40.720001,30.821354,2768268
2019-01-04,40.560001,43.119999,40.320000,42.720001,32.335175,5637624
2019-01-07,42.959999,43.599998,42.880001,43.360001,32.819599,3711498
2019-01-08,43.599998,45.040001,43.439999,44.720001,33.848999,7029280
2019-01-09,45.439999,45.439999,44.480000,44.959999,34.030651,3498201
2019-01-10,44.720001,45.360001,44.639999,45.040001,34.091206,3052959
2019-01-11,45.439999,45.599998,45.040001,45.520000,34.454525,3027985
2019-01-14,45.200001,45.520000,44.639999,45.200001,34.212315,3000813
2019-01-15,45.279999,46.160000,44.959999,46.000000,34.817837,3588233
2019-01-16,46.000000,46.560001,45.599998,46.480000,35.181160,3505175
2019-01-17,46.400002,46.480000,45.279999,45.520000,34.454525,2643977
2019-01-18,45.840000,46.959999,45.680000,46.799999,35.423370,3775520
2019-01-21,47.040001,47.040001,46.160000,46.480000,35.181160,1636016
2019-01-22,46.480000,46.799999,46.000000,46.400002,35.120602,1198224
2019-01-23,46.400002,46.880001,46.240002,46.799999,35.423370,1895992
2019-01-24,46.720001,47.680000,46.080002,46.880001,35.483917,3428350
2019-01-25,47.040001,47.680000,46.799999,47.439999,35.907787,3097500
2019-01-28,47.599998,47.759998,46.880001,47.200001,35.726131,2143852
2019-01-29,47.200001,47.680000,46.799999,47.520000,35.968342,2952213
2019-01-30,46.880001,48.160000,46.880001,48.080002,36.392212,5558789
2019-01-31,48.400002,49.200001,48.160000,49.200001,37.239948,7348798
2019-02-01,49.599998,49.840000,49.119999,49.680000,37.603268,6232798
2019-02-04,49.200001,49.599998,48.400002,49.360001,37.361057,2088056
2019-02-08,48.560001,49.840000,48.400002,49.840000,37.724373,2690221
2019-02-11,49.439999,49.919998,48.880001,49.919998,37.784927,2598509
2019-02-12,49.360001,49.919998,49.119999,49.919998,37.784927,3262349
2019-02-13,50.000000,50.720001,49.279999,50.720001,38.390446,6260760
2019-02-14,50.639999,50.720001,50.080002,50.400002,38.148239,2632281
2019-02-15,50.240002,50.320000,49.840000,50.080002,37.906029,2752146
2019-02-18,50.400002,50.720001,50.160000,50.480000,38.208794,2550028
2019-02-19,50.560001,51.520000,50.240002,51.439999,38.935425,4890295
2019-02-20,51.840000,51.919998,51.439999,51.919998,39.298744,4452055
2019-02-21,52.000000,53.200001,51.439999,52.959999,40.085926,5935791
2019-02-22,53.279999,53.599998,52.560001,53.279999,40.328136,3828287
2019-02-25,53.279999,53.439999,52.240002,52.480000,39.722610,4020423
2019-02-26,52.560001,52.720001,51.119999,51.599998,39.056530,5628514
2019-02-27,51.200001,51.840000,50.160000,50.639999,38.329899,7552904
2019-02-28,50.400002,51.599998,49.919998,50.160000,37.966583,5966436
2019-03-01,50.000000,50.560001,49.200001,50.240002,38.027142,3418626
2019-03-04,49.840000,50.959999,49.840000,50.240002,38.027142,2838685
2019-03-05,49.840000,50.320000,49.439999,49.680000,37.603268,3605175
