Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,54.049999,54.650002,53.200001,54.400002,51.438942,34675690
2022-06-28,54.000000,54.549999,53.250000,54.400002,51.438942,27898247
2022-06-29,54.299999,54.900002,53.299999,53.799999,50.871601,28968872
2022-06-30,53.599998,54.250000,53.049999,53.349998,50.446095,24442537
2022-07-04,53.250000,53.950001,52.700001,53.500000,50.587929,23698625
2022-07-05,53.900002,54.450001,52.900002,53.299999,50.398815,15417988
2022-07-06,53.250000,53.250000,51.349998,52.150002,49.311413,25038258
2022-07-07,51.400002,52.750000,51.349998,52.500000,49.642361,14494098
2022-07-08,53.200001,53.400002,52.500000,52.849998,49.973309,11600697
2022-07-11,52.650002,52.650002,51.299999,51.650002,48.838627,13831583
2022-07-12,51.200001,52.200001,51.049999,51.349998,48.554958,15913110
2022-07-13,51.450001,52.299999,50.450001,50.799999,48.034893,22766845
2022-07-14,50.799999,50.849998,47.750000,48.049999,45.434578,64317650
2022-07-15,47.500000,48.700001,46.500000,46.799999,44.252617,38052744
2022-07-18,47.500000,49.400002,47.400002,48.849998,46.191036,27421818
2022-07-19,49.000000,49.250000,48.299999,48.450001,45.812805,13719825
2022-07-20,49.099998,49.700001,48.750000,48.849998,46.191036,20776771
2022-07-21,48.849998,48.900002,47.150002,47.200001,44.630848,31455297
2022-07-22,47.250000,48.099998,47.150002,47.349998,44.772678,15782316
2022-07-25,47.150002,48.000000,47.000000,47.450001,44.867241,20654286
2022-07-26,47.400002,48.950001,47.400002,48.799999,46.143757,23949566
2022-07-27,48.200001,48.349998,47.650002,48.049999,45.434578,14893149
2022-07-28,48.200001,48.349998,47.650002,47.849998,45.245464,21203264
2022-07-29,47.500000,47.650002,46.000000,46.200001,43.685280,40320433
2022-08-01,46.650002,46.650002,45.750000,46.150002,43.638000,26081660
2022-08-02,45.849998,45.849998,44.400002,44.849998,42.408760,27368934
2022-08-03,44.849998,45.450001,44.500000,44.799999,42.361481,26243099
2022-08-04,44.799999,45.750000,44.799999,45.200001,42.739712,23159473
2022-08-05,45.400002,45.799999,44.900002,45.549999,43.070656,13431049
2022-08-08,45.000000,45.650002,44.849998,44.950001,42.503319,12835606
2022-08-09,44.900002,45.500000,44.700001,44.849998,42.408760,17615171
2022-08-10,44.549999,44.799999,43.250000,43.700001,41.321358,36335993
2022-08-11,43.799999,45.049999,43.500000,45.000000,42.550594,26336383
2022-08-12,44.950001,45.099998,44.549999,44.900002,42.456039,17019745
2022-08-15,44.099998,45.000000,44.049999,44.200001,41.794140,16700549
2022-08-16,44.049999,44.750000,43.700001,43.900002,41.510471,19650826
2022-08-17,43.849998,44.200001,43.299999,43.750000,41.368633,25352659
2022-08-18,43.500000,43.750000,43.049999,43.099998,40.754013,20335202
2022-08-19,42.900002,43.599998,42.900002,43.549999,41.179520,19492623
2022-08-22,42.900002,44.500000,42.849998,43.500000,41.132240,22652730
2022-08-23,43.000000,43.599998,42.549999,42.950001,40.612179,26951446
2022-08-24,43.549999,44.799999,43.549999,44.049999,41.652302,47247626
2022-08-25,44.000000,46.700001,44.000000,46.400002,43.874393,45523861
2022-08-26,46.400002,46.650002,45.549999,46.650002,44.110786,35911718
2022-08-29,46.049999,46.500000,45.549999,46.349998,43.827114,22299551
2022-08-30,46.099998,46.299999,45.400002,45.950001,43.448887,21896807
2022-08-31,45.250000,47.200001,45.049999,46.349998,43.827114,28578964
2022-09-01,45.799999,46.599998,45.599998,46.049999,43.543442,18374320
2022-09-02,45.950001,46.450001,45.549999,45.700001,43.212494,18347638
2022-09-05,45.400002,45.900002,45.000000,45.450001,42.976101,14836866
2022-09-06,45.599998,46.650002,45.349998,45.700001,43.212494,18302172
2022-09-07,45.049999,45.900002,45.000000,45.599998,43.117935,16040526
2022-09-08,45.849998,45.950001,45.099998,45.099998,42.645153,17149035
2022-09-09,45.250000,47.849998,45.250000,47.500000,44.914516,34151561
2022-09-13,47.500000,48.349998,47.150002,47.500000,44.914516,25007068
2022-09-14,46.549999,46.900002,45.900002,45.900002,43.401608,22087964
2022-09-15,45.900002,47.400002,45.849998,46.549999,44.016224,18505028
2022-09-16,45.950001,46.450001,45.400002,45.750000,43.259773,22728781
2022-09-19,45.500000,45.849998,44.700001,45.000000,42.550594,22516548
2022-09-20,44.599998,44.750000,43.299999,44.049999,42.659164,25955577
2022-09-21,43.500000,43.599998,42.599998,42.750000,41.400211,30873333
2022-09-22,41.650002,42.250000,41.400002,42.000000,40.673893,35529568
2022-09-23,41.750000,43.000000,41.700001,42.000000,40.673893,23003436
2022-09-26,41.799999,42.599998,41.000000,41.549999,40.238098,28499454
2022-09-27,41.150002,41.700001,40.549999,40.700001,39.414940,32484857
2022-09-28,40.700001,40.799999,39.000000,39.000000,37.768612,44766649
2022-09-29,39.700001,40.200001,37.750000,38.349998,37.139133,44690921
2022-09-30,38.799999,39.849998,38.650002,39.200001,37.962299,35930029
2022-10-03,39.200001,39.349998,37.000000,37.500000,36.315975,37985312
2022-10-05,39.250000,41.549999,39.000000,41.099998,39.802307,55608848
2022-10-06,41.150002,41.599998,40.750000,40.900002,39.608624,11944573
2022-10-07,40.450001,40.700001,40.049999,40.150002,38.882305,11025996
2022-10-10,39.549999,40.200001,39.200001,39.349998,38.107563,24049836
2022-10-11,39.650002,39.650002,38.250000,38.349998,37.139133,25947121
2022-10-12,38.650002,39.650002,38.099998,38.849998,37.623348,32105758
2022-10-13,38.849998,38.900002,37.950001,38.000000,36.800186,22730579
2022-10-14,38.700001,39.700001,37.950001,38.150002,36.945454,29315892
